tag,maxh,linear_nodes,tets,est_c3d10_nodes,est_elem_pct_of_ceiling,est_eq,est_eq_pct_of_ceiling,gen_time_s
attempt32_hull,2.0,23401,76619,156956,33.31,470868,39.9,4.63
attempt32_hull,1.8,28694,93648,191841,40.72,575523,48.77,5.38
attempt33_hull,3.0,9770,28366,58109,12.33,174327,14.77,1.6
attempt33_hull,2.0,23835,77560,158884,33.72,476652,40.39,4.24
attempt33_hull,1.8,29452,95411,195452,41.48,586356,49.69,5.19
attempt33_star,3.0,9709,28148,57662,12.24,172986,14.66,1.54
attempt33_star,2.0,24047,78129,160050,33.97,480150,40.69,4.25
attempt33_star,1.8,29404,95184,194987,41.38,584961,49.57,7.76
attempt34_hull,3.0,9704,28360,58096,12.33,174288,14.77,1.56
attempt34_hull,2.0,23747,77525,158812,33.71,476436,40.38,4.24
attempt34_hull,1.8,29073,94611,193813,41.14,581439,49.27,5.14
attempt34_star,3.0,9689,28260,57891,12.29,173673,14.72,1.54
attempt34_star,2.0,23910,77920,159621,33.88,478863,40.58,4.27
attempt34_star,1.8,29139,94651,193895,41.15,581685,49.3,5.26
attempt35_hull,3.0,9691,28409,58197,12.35,174591,14.8,1.55
attempt35_hull,2.0,23839,77858,159494,33.85,478482,40.55,7.67
attempt35_hull,1.8,29159,94958,194524,41.29,583572,49.46,5.74
attempt35_star,3.0,9605,28071,57504,12.2,172512,14.62,1.69
attempt35_star,2.0,23731,77537,158837,33.71,476511,40.38,4.41
attempt35_star,1.8,28916,94095,192756,40.91,578268,49.01,5.3
attempt36_hull,3.0,9595,28100,57564,12.22,172692,14.63,1.54
attempt36_hull,2.0,23660,77254,158257,33.59,474771,40.23,4.23
attempt36_hull,1.8,29049,94627,193846,41.14,581538,49.28,5.27
attempt36_star,3.0,9565,27895,57144,12.13,171432,14.53,1.55
attempt36_star,2.0,23743,77441,158640,33.67,475920,40.33,6.96
attempt36_star,1.8,28916,93997,192556,40.87,577668,48.95,5.24
attempt37_hull,3.0,9608,28096,57555,12.22,172665,14.63,1.53
attempt37_hull,2.0,23525,77045,157829,33.5,473487,40.13,4.2
attempt37_hull,1.8,28709,93504,191546,40.65,574638,48.7,5.13
attempt37_star,3.0,9715,28253,57877,12.28,173631,14.71,1.58
attempt37_star,2.0,23921,78011,159808,33.92,479424,40.63,4.42
attempt37_star,1.8,29134,94526,193639,41.1,580917,49.23,5.41
attempt38_hull,3.0,9620,28153,57672,12.24,173016,14.66,1.56
attempt38_hull,2.0,23681,77431,158620,33.67,475860,40.33,7.89
attempt38_hull,1.8,28913,94090,192746,40.91,578238,49.0,5.17
attempt3_hull,3.0,9682,28235,57840,12.28,173520,14.71,1.55
attempt3_hull,2.0,23909,78012,159810,33.92,479430,40.63,4.25
attempt3_hull,1.8,29148,94681,193957,41.17,581871,49.31,5.17
attempt3_star,3.0,9921,28835,59069,12.54,177207,15.02,1.59
attempt3_star,2.0,23812,77305,158362,33.61,475086,40.26,4.28
attempt3_star,1.8,29230,94658,193910,41.16,581730,49.3,5.54
attempt40_hull,3.0,9558,27965,57287,12.16,171861,14.56,4.74
attempt40_hull,2.0,23480,76794,157315,33.39,471945,40.0,4.43
attempt40_hull,1.8,28729,93624,191791,40.71,575373,48.76,5.13
attempt40_star,3.0,9713,28319,58012,12.31,174036,14.75,1.61
