tag,maxh,status,n_solids,n_faces,linear_nodes,tets,gen_time_s
attempt23_star,1.8,ok,1,62,29113,94536,5.31
attempt24_hull,3.0,ok,1,50,9618,28169,1.59
attempt24_hull,2.0,ok,1,50,23567,77064,4.31
attempt24_hull,1.8,ok,1,50,28982,94261,8.36
attempt25_hull,3.0,ok,1,34,9642,28091,1.54
attempt25_hull,2.0,ok,1,34,23803,77529,4.33
attempt25_hull,1.8,ok,1,34,29125,94429,5.29
attempt25_star,3.0,ok,1,38,9871,28677,1.59
attempt25_star,2.0,ok,1,38,23878,77573,4.29
attempt25_star,1.8,ok,1,38,29414,95185,5.3
attempt26_hull,3.0,ok,1,38,9535,27924,1.53
attempt26_hull,2.0,ok,1,38,23574,77114,7.28
attempt26_hull,1.8,ok,1,38,28742,93649,5.17
attempt26_star,3.0,ok,1,42,9687,28266,1.58
attempt26_star,2.0,ok,1,42,23844,77777,4.4
attempt26_star,1.8,ok,1,42,29152,94761,5.29
attempt27_hull,3.0,ok,1,38,9567,27965,1.51
attempt27_hull,2.0,ok,1,38,23689,77414,4.24
attempt27_hull,1.8,ok,1,38,29024,94508,5.32
attempt27_star,3.0,ok,1,46,9641,28071,1.57
attempt27_star,2.0,ok,1,46,23912,77830,7.47
attempt27_star,1.8,ok,1,46,29260,95045,5.3
attempt28_hull,3.0,ok,1,34,9657,28265,1.55
attempt28_hull,2.0,ok,1,34,23713,77467,4.2
attempt28_hull,1.8,ok,1,34,29204,94941,5.17
attempt28_star,3.0,ok,1,50,9768,28469,1.59
attempt28_star,2.0,ok,1,50,23985,78208,4.41
attempt28_star,1.8,ok,1,50,29229,94926,5.41
attempt29_hull,3.0,ok,1,38,9533,27892,4.7
attempt29_hull,2.0,ok,1,38,23650,77356,4.4
attempt29_hull,1.8,ok,1,38,28733,93635,5.33
attempt29_star,3.0,ok,1,54,9682,28235,1.62
attempt29_star,2.0,ok,1,54,23777,77571,4.34
attempt29_star,1.8,ok,1,54,29061,94491,5.38
attempt2_hull,3.0,ok,1,34,9811,28704,1.62
attempt2_hull,2.0,ok,1,34,23803,77724,4.27
attempt2_hull,1.8,ok,1,34,29179,94824,8.0
attempt2_star,3.0,ok,1,42,9830,28646,1.61
attempt2_star,2.0,ok,1,42,23994,78169,4.48
attempt2_star,1.8,ok,1,42,29357,95099,5.36
attempt30_hull,3.0,ok,1,38,9598,28114,1.54
attempt30_hull,2.0,ok,1,38,23569,77090,4.21
attempt30_hull,1.8,ok,1,38,28921,94138,5.09
attempt31_star,3.0,ok,1,62,9634,27840,1.58
attempt31_star,2.0,ok,1,62,23755,77208,4.43
attempt31_star,1.8,ok,1,62,29157,94330,8.79
attempt32_hull,3.0,ok,1,46,9514,27844,1.64
attempt32_hull,2.0,ok,1,46,23401,76619,4.63
attempt32_hull,1.8,ok,1,46,28694,93648,5.38
attempt33_hull,3.0,ok,1,34,9770,28366,1.6
attempt33_hull,2.0,ok,1,34,23835,77560,4.24
attempt33_hull,1.8,ok,1,34,29452,95411,5.19
attempt33_star,3.0,ok,1,38,9709,28148,1.54
attempt33_star,2.0,ok,1,38,24047,78129,4.25
attempt33_star,1.8,ok,1,38,29404,95184,7.76
attempt34_hull,3.0,ok,1,34,9704,28360,1.56
attempt34_hull,2.0,ok,1,34,23747,77525,4.24
attempt34_hull,1.8,ok,1,34,29073,94611,5.14
attempt34_star,3.0,ok,1,42,9689,28260,1.54
attempt34_star,2.0,ok,1,42,23910,77920,4.27
attempt34_star,1.8,ok,1,42,29139,94651,5.26
attempt35_hull,3.0,ok,1,42,9691,28409,1.55
attempt35_hull,2.0,ok,1,42,23839,77858,7.67
attempt35_hull,1.8,ok,1,42,29159,94958,5.74
attempt35_star,3.0,ok,1,46,9605,28071,1.69
attempt35_star,2.0,ok,1,46,23731,77537,4.41
attempt35_star,1.8,ok,1,46,28916,94095,5.3
attempt36_hull,3.0,ok,1,38,9595,28100,1.54
attempt36_hull,2.0,ok,1,38,23660,77254,4.23
attempt36_hull,1.8,ok,1,38,29049,94627,5.27
attempt36_star,3.0,ok,1,50,9565,27895,1.55
attempt36_star,2.0,ok,1,50,23743,77441,6.96
attempt36_star,1.8,ok,1,50,28916,93997,5.24
attempt37_hull,3.0,ok,1,38,9608,28096,1.53
attempt37_hull,2.0,ok,1,38,23525,77045,4.2
attempt37_hull,1.8,ok,1,38,28709,93504,5.13
attempt37_star,3.0,ok,1,54,9715,28253,1.58
attempt37_star,2.0,ok,1,54,23921,78011,4.42
attempt37_star,1.8,ok,1,54,29134,94526,5.41
attempt38_hull,3.0,ok,1,38,9620,28153,1.56
attempt38_hull,2.0,ok,1,38,23681,77431,7.89
attempt38_hull,1.8,ok,1,38,28913,94090,5.17
attempt3_hull,3.0,ok,1,34,9682,28235,1.55
attempt3_hull,2.0,ok,1,34,23909,78012,4.25
attempt3_hull,1.8,ok,1,34,29148,94681,5.17
attempt3_star,3.0,ok,1,46,9921,28835,1.59
attempt3_star,2.0,ok,1,46,23812,77305,4.28
attempt3_star,1.8,ok,1,46,29230,94658,5.54
attempt40_hull,3.0,ok,1,42,9558,27965,4.74
attempt40_hull,2.0,ok,1,42,23480,76794,4.43
attempt40_hull,1.8,ok,1,42,28729,93624,5.13
attempt40_star,3.0,ok,1,66,9713,28319,1.61
attempt40_star,2.0,ok,1,66,23676,77217,4.41
attempt40_star,1.8,ok,1,66,29054,94288,5.4
